signer_id,recording_id,label,frame_number,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135
rachel,rachel_hello_001,hello,1,0.0,0.0,0.0,-0.2081972548836054,-0.115197650707193,-0.0389058174702092,-0.3872756379645414,-0.3954426446751446,-0.0709443278856724,-0.4697901106872098,-0.6644008494379603,-0.0995847381190785,-0.5096194871825396,-0.8847317341483205,-0.1211002307706393,-0.2418214270157309,-0.550117948935781,-0.0874695145626238,-0.3263488371904263,-0.8727222895756626,-0.1426149793928999,-0.3843652658984857,-0.9709265816236669,-0.1672139239264626,-0.4121732933523552,-1.0,-0.1762260464634888,-0.0893427678052299,-0.567081275866855,-0.0992747315472706,-0.1642313460355819,-0.882174437804697,-0.1378029022551888,-0.2123876279020186,-0.9126980369260388,-0.1402173872475767,-0.2183382389665189,-0.8672670667470038,-0.1371185897612594,0.0540625217290375,-0.5406752701705667,-0.1132896648240757,-0.0003776963283642,-0.8392304193809081,-0.1501002861670026,-0.0448354761828104,-0.8500905416019249,-0.1203170046541827,-0.052016576431695,-0.7987416976475958,-0.0935385784736585,0.1867651526978096,-0.4930062598566972,-0.1297953799160472,0.146549422078623,-0.7359721392141049,-0.1620023537838443,0.1060241752705764,-0.7712347991432029,-0.1361659194265733,0.0958252921803061,-0.7393421861095952,-0.1077475258453547,1.0281670725217722,1.0958751950861367,0.904779121839728,0.8058805677316649,0.7532721182338769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rachel,rachel_hello_001,hello,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1808698361891296,-0.1883838546690811,-0.0138505642638844,-0.316712174472324,-0.4471915411356021,-0.0166100948272598,-0.3998891862574221,-0.6664710647398893,-0.0227474277020691,-0.4377598197049085,-0.8377066035095613,-0.0262593031502039,-0.2545105156137351,-0.5290738388248328,0.0069652406492232,-0.328723478360183,-0.7498779744271813,-0.0247194783384358,-0.3717677991804903,-0.8891727195371126,-0.051171338434609,-0.4009212653836526,-1.0,-0.0696850154214105,-0.1486826530217913,-0.5468586814641493,-0.0068111625917895,-0.195563856603768,-0.7496067244397961,-0.0323725966641047,-0.2334573813841281,-0.8746052168116902,-0.0548990758441913,-0.2575452171513681,-0.9732673537840728,-0.0702624292940013,-0.0315105350590608,-0.5365029378441238,-0.0254413514439011,-0.0659846362234912,-0.7331141344627047,-0.0496141162867767,-0.1010295438495788,-0.8556617773569273,-0.0524688908711452,-0.1246460150743119,-0.9518797107224726,-0.0527457136981362,0.0943711197037024,-0.498588737021168,-0.0460914316835611,0.0817387961078826,-0.6748657841770677,-0.0655941203998324,0.058858047398843,-0.7855013189592173,-0.0599612064291535,0.0380133965987417,-0.8719830515525123,-0.0516720286513702,0.9455556907520222,1.0796267236462385,1.0092153832506177,0.9614539630541492,0.8743394415561685
rachel,rachel_hello_001,hello,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1475034926818128,-0.1189896810231023,-0.0434962824728879,-0.2473761964788141,-0.3268273127924617,-0.066381079409174,-0.3012900893059192,-0.5052244397126092,-0.0887950507880066,-0.3459908315292465,-0.6592638084525175,-0.1096416656894813,-0.148895394127992,-0.5471440681086399,-0.0302514638099903,-0.1893718219905121,-0.7514282038245125,-0.0875613969422505,-0.2340775286416457,-0.868915731733905,-0.1389112080561151,-0.2826110159825616,-0.9609869406589532,-0.1760839643519403,-0.0589724379105219,-0.5565609671036329,-0.0487482527818863,-0.089335498927063,-0.7672790012564139,-0.0975996638894625,-0.1299110084945496,-0.8956326273779092,-0.1429169841678676,-0.174306024705475,-1.0,-0.1755705339199151,0.0327083394526801,-0.5159511202438196,-0.0759112035571023,0.0198157204398317,-0.7161207795640984,-0.1242533212558253,-0.0093883535351069,-0.8362305596109875,-0.1513996657614655,-0.0486890394121786,-0.9432500743629916,-0.1710515471554934,0.1259400868030201,-0.4295533214711089,-0.1079150984609931,0.1467733080919759,-0.5695880393695674,-0.1527576177612404,0.1372254723135929,-0.6646967541329896,-0.1675869712438072,0.1160629439801555,-0.7533136521350969,-0.1763144741117986,0.752568747353211,1.017040042954871,1.030149310842632,0.9598697605034536,0.7823291246270834
rachel,rachel_hello_001,hello,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1858362190396303,-0.2021069654890169,-0.0325649032117043,-0.2860916011424356,-0.4191339678603861,-0.040605104197692,-0.3339341987236249,-0.6126551889018347,-0.0542400917074169,-0.3826541008583016,-0.7810504843107052,-0.065383994961051,-0.2029418393754771,-0.556054901646219,0.0501122712160196,-0.2433093657312354,-0.7269955319497367,0.0169541287609145,-0.2687689782523637,-0.8428658036201643,-0.0324177376206719,-0.2959379405023043,-0.9641393176603203,-0.0715217929973395,-0.1298893640562343,-0.5697159600226337,0.0387908915950042,-0.1625098588159964,-0.7429848216411757,0.0107533729596068,-0.191655281946226,-0.8719947596105714,-0.0368077362931981,-0.2143263914404817,-0.9947349603743032,-0.0734520600145374,-0.054055457487957,-0.5552725609665544,0.0156314932047833,-0.0732355333398461,-0.731556525578974,-0.0165586586171945,-0.0963210490154014,-0.8713216273858032,-0.0463577050207863,-0.119967457698898,-1.0,-0.0668469690012617,0.0292391746992802,-0.5095717018162649,-0.0133476279141618,0.0251282492167248,-0.6758926427344908,-0.041340922681723,0.0131090556034696,-0.7944685766056901,-0.0542614775212891,0.0005762488683892,-0.9077350196762116,-0.0619533745064993,0.8722035810192075,1.011068373237343,1.0202101002142372,1.0093863027460757,0.9098469204333623
rachel,rachel_hello_001,hello,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2178411434677438,-0.1944757774130099,-0.0063892530323243,-0.3375571396148113,-0.4193052962456743,-0.0004485161727317,-0.3952802750192257,-0.6153227588610353,-0.0028337278627235,-0.448740514255733,-0.7775238772870652,-0.0033497049434676,-0.2630400073072123,-0.5251271319415982,0.0696019259304324,-0.3127156057105949,-0.7183518907144945,0.0527275228826164,-0.345626231184702,-0.8390975977006183,0.0189472352454314,-0.3777397644341718,-0.9520635992096516,-0.007494170193021,-0.1931244553336513,-0.5466177840345309,0.0580858773268003,-0.2296137794730718,-0.7436981429885282,0.0496782082965649,-0.2669379696855263,-0.8757419653477226,0.0198347522876793,-0.292536687850255,-0.988782340789898,-0.0047267197754652,-0.1189957320886601,-0.5478983601774858,0.0382369437764417,-0.1444691776601192,-0.738719250993671,0.0303643775887097,-0.1786265535428828,-0.8805404178577255,0.0220927734416747,-0.205878784574142,-1.0,0.0138488077606031,-0.0363320398102216,-0.5272091752464343,0.0143335654792462,-0.0543606226624096,-0.7041019731713909,0.0104539198160841,-0.0762532354528268,-0.8171011601800041,0.0155987909944564,-0.0981821282106304,-0.9150781998691148,0.019326087471042,0.8977319474148279,1.0242893093075325,1.0311598193666118,1.0210670219991027,0.9205331823636812
rachel,rachel_hello_001,hello,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2204257710637532,-0.1397464256811438,-0.0040604022155722,-0.3517035338548692,-0.352310268860714,0.0051682293218906,-0.4196873033000629,-0.5303800242783923,0.0019821254523813,-0.4881033630069238,-0.6672909360669005,0.0003527665729949,-0.3227958367053322,-0.5227896547073105,0.0893617819721413,-0.3902295207265533,-0.6910527380631238,0.0679259356566121,-0.4311561460300332,-0.798437640499955,0.0285854881080553,-0.4681492221922489,-0.9056928333782932,-0.0014915441754974,-0.2677432335221653,-0.5613141803794622,0.0668897906381785,-0.3324033360309325,-0.7375970011689597,0.0524936208074528,-0.3802092887330276,-0.8505340122291161,0.0189362023395767,-0.4144665497707041,-0.9506413541947668,-0.0055190745050471,-0.1958816653178671,-0.580523109432605,0.0329938708973728,-0.2543613434043701,-0.7638699307616221,0.0166534978137922,-0.3018109882204837,-0.8901002607679166,0.0033483992636112,-0.339996628001079,-1.0,-0.0062529922655059,-0.1072320384857476,-0.5770864805323263,-0.0064249233776754,-0.1553796870785001,-0.7576677007463357,-0.0174863561927044,-0.1861595180289542,-0.8778740670802986,-0.0157535070222162,-0.2115787698947936,-0.9943804513982556,-0.0133683499292164,0.8267540207219825,1.0195319648623264,1.0370785724174827,1.0562370978925029,1.0167284646222032
rachel,rachel_hello_001,hello,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1835462253181813,-0.0890893954686435,-0.0176868729620394,-0.3019650660308697,-0.2654520457624991,-0.0183772135765072,-0.365960273546267,-0.420653143978398,-0.0253641719407153,-0.4292873852979056,-0.5429905044159079,-0.0304509995321842,-0.2994041696532543,-0.4783559486256614,0.0411941826797557,-0.3779249990378864,-0.6577280179466761,0.0162281960337371,-0.4382854523641487,-0.772434929311831,-0.0172326848547519,-0.4932057267676885,-0.8770511629569956,-0.0428430219288479,-0.24670188251231,-0.5321545557737606,0.0210197275386923,-0.3298942303635202,-0.7289233895391392,0.0017210931596888,-0.3950648907587694,-0.8611101136499517,-0.0343538607625427,-0.4509667012890158,-0.9732795696902756,-0.060064645001768,-0.1796549075183493,-0.5538116156444247,-0.0072399186090848,-0.2561125121075613,-0.7468589375659666,-0.0296688025120417,-0.3166724462170803,-0.8845058298928651,-0.0570359772639568,-0.3738910772070485,-1.0,-0.0767320127534016,-0.0960662770780866,-0.5424673825478322,-0.0396775717841291,-0.1424134114557506,-0.7134532220396796,-0.0583766831260902,-0.1817987077127915,-0.8316733032322738,-0.0658934559721395,-0.2209204338026987,-0.9338110705755488,-0.0699192893517968,0.692859011945622,1.0071276760613117,1.0743611348271926,1.0703655167260553,0.9621318312084296
rachel,rachel_hello_001,hello,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1753523140095883,-0.0449282596294717,-0.0255918227446083,-0.3017834287844488,-0.2220983128835428,-0.0283884515523717,-0.3613647981562577,-0.3803493816777626,-0.0361996900642688,-0.4259689048618422,-0.4897250630409671,-0.0429225184893315,-0.3050412287414008,-0.4710178237489788,0.0225134898411039,-0.400014474809342,-0.6594694100552715,-0.0059430155378577,-0.4633577890578291,-0.7707633800443461,-0.0377381829752954,-0.5182887226556092,-0.8724362260171578,-0.0627874736800643,-0.2495274313499098,-0.5285746555229275,0.0037673775600832,-0.3522749189999455,-0.7343893455939772,-0.0205858363597473,-0.4269743986757162,-0.8616784100637134,-0.0515807343120726,-0.4931746058289498,-0.9745161087905592,-0.0748528819129724,-0.181075133132489,-0.55011717229115,-0.0244766118116321,-0.2685382544960763,-0.7624613348645517,-0.0508137596273419,-0.3317247762332664,-0.8894766039064671,-0.073076437815498,-0.3921507604087295,-1.0,-0.0902864793434679,-0.1022050586877703,-0.5450981988379611,-0.058532460446529,-0.1518484928373621,-0.7224232164327585,-0.0827824171753447,-0.1926939098852785,-0.8414592737097727,-0.0941419432102949,-0.2361929702862598,-0.9469938073948102,-0.1026850380568058,0.650478660582454,1.0167155134796406,1.094762893076629,1.077930362890564,0.9813911592721286
rachel,rachel_hello_001,hello,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1729437714655363,-0.0499677956389416,-0.020499542829493,-0.2963430015325873,-0.2284237779516303,-0.0210414436534121,-0.3529832694521985,-0.3842612302345868,-0.0281786066408571,-0.4165319165567885,-0.4988034534789646,-0.0334890708536397,-0.2982412391971111,-0.4777362455292357,0.0339520031601864,-0.3895405489621495,-0.6631233255831832,0.0065178790158469,-0.4564237633083903,-0.7693106113315852,-0.0251880310463146,-0.5156089402148809,-0.8629505784187497,-0.0507919129504139,-0.2457032319138219,-0.5328530781274999,0.0122875843587292,-0.3478471529988171,-0.7393807976732752,-0.0122219306921528,-0.4227992233053195,-0.8639533173506675,-0.0442343793371793,-0.4897435947130151,-0.9705737630607472,-0.0683936124060945,-0.1782457010784961,-0.5521077544354481,-0.0190891938999246,-0.2691875435124955,-0.7699917373364507,-0.0473080364766956,-0.3303902574217001,-0.895798703685639,-0.0709513880634737,-0.389626039643127,-1.0,-0.0885589286645485,-0.0982886574539152,-0.546210512511249,-0.0557434209457306,-0.1501128067839547,-0.7255642546450833,-0.082232483683616,-0.1947288211911802,-0.8432699560982743,-0.0953073964002148,-0.2421940225001997,-0.9446002621570656,-0.1049625809362642,0.6507113342947495,1.0065366850959432,1.0892841246994656,1.076870992558626,0.9807878176235806
rachel,rachel_hello_001,hello,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1676693187186937,-0.0481271914020973,-0.0243869603578445,-0.2914148256064413,-0.2309753272467917,-0.0267078606343804,-0.3477081332326424,-0.3882832922971294,-0.0347295690191797,-0.4073443104844114,-0.4978688858077599,-0.0410275031580938,-0.2950877626436193,-0.4762750661004972,0.0259072070687964,-0.3843786012434931,-0.6595849964548811,-0.0039950759559233,-0.4496368482032076,-0.7662655255244546,-0.0370840938423213,-0.5065947886511001,-0.8609680988561537,-0.0633825488655227,-0.2416277656733426,-0.5351816037431486,0.0058005866335219,-0.3425135875698454,-0.7393784183784362,-0.0203026739976982,-0.4179105372736014,-0.8638821592941527,-0.0523131018039392,-0.4853713041512831,-0.9706287125555684,-0.0764042812128733,-0.1737480423666476,-0.5556845517259917,-0.0239627278167854,-0.2627435124002589,-0.7724804742689588,-0.0522516559319693,-0.324532731586814,-0.8969204935396694,-0.074748850439292,-0.3843267671658749,-1.0,-0.0918308898617854,-0.0942223584473187,-0.5481152770609092,-0.0594117666855431,-0.1449353634942337,-0.7255933382072359,-0.0848552438996735,-0.1884288668047873,-0.8421279109747575,-0.0965387012197992,-0.2351412234973512,-0.9420208532563876,-0.1054071076158887,0.6445820900047319,1.000960386147785,1.0879076315195393,1.0752394971786423,0.9766295824383324
